index,Agent1 Ego Dynamics s,Agent1 Ego Dynamics d,Agent1 Ego Dynamics mu,Agent1 Ego Dynamics speed,Agent1 Ego Dynamics steering,Agent1 Ego Dynamics kappa,Agent1 Ego Dynamics tire velocity (action),Agent1 Ego Dynamics Acceleration (action),Agent2 Ego Dynamics s,Agent2 Ego Dynamics d,Agent2 Ego Dynamics mu,Agent2 Ego Dynamics speed,Agent2 Ego Dynamics steering,Agent2 Ego Dynamics kappa,Agent2 Ego Dynamics tire velocity (action),Agent2 Ego Dynamics Acceleration (action)
45,29.61068135960856,1.3362803423935503,-0.3050434595884494,7.916953497380016,-0.140163754322566,0.0029388887644489,0.3956134617328644,-0.4236698150634765,21.252861884436737,-1.0204867619680973,-1.8559542613835766e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
46,30.346810962607915,1.044042185115038,-0.3310927626785442,7.874586515873668,-0.1006024081492795,0.0030603511558452,0.3593918085098266,0.1278829574584961,21.252861892688507,-1.0204867619680973,-1.8971976893684967e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
49,32.556372690661604,0.1657758633735944,-0.3662354694038752,7.969115667790172,-0.0094522107625379,0.0019963037514413,0.1020425409078598,0.1388931274414062,21.25286191744382,-1.0204867619680973,-2.020927973323257e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
50,33.30010179766915,-0.1224562208279764,-0.3686121779760961,7.983004980534313,0.000752043328248,0.0020844545246867,0.0290687903761863,0.0610780715942382,21.25286192569559,-1.0204867619680973,-2.062171401308177e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
51,34.044822224481415,-0.4098040683220206,-0.3696556845340054,7.989112787693736,0.0036589223658666,0.002145454426597,0.2239099740982055,0.9519672393798828,21.25286193394736,-1.0204867619680973,-2.103414829293097e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
52,34.79556626268063,-0.6943416206407895,-0.3682394251819031,8.084309511631725,0.0260499197756872,0.0016397966391926,0.1547306478023529,0.1240348815917968,21.25286194219913,-1.0204867619680973,-2.144658257278017e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
53,35.55471848853523,-0.9708873899907204,-0.3627884723222155,8.096712999790904,0.0415229845559225,0.0018660861654679,0.3502410352230072,0.2841758728027344,21.252861950450903,-1.0204867619680973,-2.1859016852629376e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
54,36.32067335781794,-1.2326244509951678,-0.3523565576832095,8.125130587071178,0.0765470880782232,0.0021090167665521,0.3262749314308166,0.085763931274414,21.252861958702677,-1.0204867619680973,-2.2271451132478573e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
55,37.09545139629992,-1.471119596935878,-0.3351820876968042,8.13370698019862,0.1091745812213049,0.0024638761276301,0.1380746066570282,0.0728416442871093,21.252861966954445,-1.0204867619680973,-2.268388541232778e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
56,37.87768462624168,-1.6852272055331234,-0.3132771019383257,8.14099114462733,0.1229820418870077,0.0020967089062335,-0.0017401576042175,0.1629924774169922,21.252861975206216,-1.0204867619680973,-2.309631969217698e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
59,40.25814318504528,-2.204152990350753,-0.2404141355231639,8.156948976963756,0.144181327871047,0.0027781584672958,0.1612415909767151,-0.1252937316894531,21.252861999961528,-1.0204867619680973,-2.4333622531724584e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
60,41.05892638043117,-2.3256705700573184,-0.2115026656192948,8.14441960379481,0.1603054869687185,0.0026449070714841,0.1829823851585388,-0.0587177276611328,21.2528620082133,-1.0204867619680973,-2.474605681157378e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
61,41.86323097198408,-2.4151806493204706,-0.1788484451464802,8.138547831028697,0.1786037254845724,0.002419331025914,0.5121821165084839,-1.0,21.25286201646507,-1.0204867619680973,-2.515849109142298e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
62,42.66588678338924,-2.461001228928647,-0.1391432712615262,8.038547831028698,0.2298219371354208,0.0024941082021483,0.3731174767017364,-0.946335792541504,21.25286202471684,-1.0204867619680973,-2.5570925371272187e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
63,43.45891385029858,-2.452692405138154,-0.091259527124617,7.943914251774547,0.2671336848055944,0.0032878794690822,0.0935786962509155,0.0775861740112304,21.25286203296861,-1.0204867619680973,-2.598335965112139e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
64,44.2451408029189,-2.3945987246215674,-0.0390135319187361,7.95167286917567,0.276491554430686,0.0033289449676883,-0.0538733601570129,0.1628255844116211,21.252862041220386,-1.0204867619680973,-2.639579393097059e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
65,45.028621485339286,-2.293802915318077,0.0137714268209815,7.967955427616832,0.2711042184149847,0.0032078139952263,-0.18198162317276,-0.009312629699707,21.252862049472157,-1.0204867619680973,-2.680822821081979e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
66,45.807921437208925,-2.1569988685139627,0.0642212393751432,7.967024164646862,0.2529060560977087,0.0028032893893136,-0.7288095355033875,1.0,21.252862057723924,-1.0204867619680973,-2.7220662490668993e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
69,48.1707403495812,-1.6664571670425767,0.1603746436693879,8.124875956028697,0.109799237898551,0.0023430389105725,-0.2834971249103546,-0.1861381530761718,21.25286208247924,-1.0204867619680973,-2.8457965330216596e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
70,48.95998057979128,-1.4913035458981878,0.1777897877480422,8.10626214072108,0.0814495254075155,0.0026904937726311,-0.4083349704742431,-0.0316143035888671,21.252862090731007,-1.0204867619680973,-2.8870399610065798e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
71,49.74899954402352,-1.3190669298662907,0.1880822606451932,8.103100710362193,0.0406160283600912,0.0022231593765095,-0.2366108447313308,-0.1030540466308593,21.252862098982774,-1.0204867619680973,-2.9282833889915e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
72,50.53954513000226,-1.1543154432760607,0.1920393886987501,8.092795305699108,0.0169549438869581,0.0023112830139704,-0.1779385805130005,-0.0734329223632812,21.25286210723455,-1.0204867619680973,-2.9695268169764204e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
73,51.33123467802898,-0.9964777941343994,0.1921173852548693,8.08545201346278,-0.0008389141643419,0.0017907007396457,-0.1825615465641021,-0.0255966186523437,21.25286211548632,-1.0204867619680973,-3.01077024496134e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
74,52.12448132291847,-0.8471903328977473,0.1887361722428368,8.082892351597545,-0.0190950688207521,0.0016103369901476,-0.2150550335645675,-0.0217151641845703,21.25286212373809,-1.0204867619680973,-3.0520136729462603e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
75,52.91987360317833,-0.7100740445164856,0.1813374062440093,8.080720835179088,-0.0406005721772088,0.0018494795732826,-0.2284134626388549,-0.03021240234375,21.25286213198986,-1.0204867619680973,-3.09325710093118e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
76,53.71760991114712,-0.5896928384686347,0.1690529728287614,8.077699594944713,-0.0634419184410943,0.0023202636060033,-0.1581335067749023,0.1062965393066406,21.252862140241632,-1.0204867619680973,-3.1345005289161e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
